Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2024-09-16,buy,4000,NKE
2024-09-16,buy,4000,TSLA
2024-09-16,buy,400000,BIL
2024-09-16,buy,5000,AMZN
2024-09-26,buy,50000,BYDDF
2024-10-29,buy,50000,AMZN
2024-11-12,sell,4000,NKE
2025-01-21,buy,50000,WMT
2025-02-06,sell,50000,AMZN
2025-02-10,sell,50000,WMT
2025-03-12,buy,50000,XIACY
2025-03-12,sell,4000,TSLA
2025-03-20,buy,50000,TSLA
2025-03-20,sell,50000,XIACY
2025-04-02,sell,50000,TSLA
2025-04-07,buy,60000,AMZN
2025-04-07,buy,60000,MCD
2025-04-07,buy,60000,TSLA
2025-07-15,buy,60000,DIS
2025-07-23,sell,60000,DIS
2025-07-23,sell,60000,TSLA
2025-07-31,buy,50000,MCD
2025-07-31,buy,10000,TLT
2025-07-31,buy,10000,SPY
2025-08-01,buy,60000,TSLA
2025-08-01,buy,10000,HD
2025-08-12,sell,30000,TSLA
2025-08-12,buy,50000,DIS
2025-08-18,sell,50000,DIS
2025-08-15,buy,30000,TSLA
2025-09-02,sell,10000,HD
2025-09-04,sell,50000,MCD
2025-11-18,sell,10000,TLT
2025-11-18,buy,10000,BIL
2025-11-18,buy,10000,RL
